,Uni_Grams,Freq
3014,مجموعہٴ,2
1850,نغمہ,2
1849,تصور,2
3854,آمیز,2
1863,زبانِ,2
3157,طَعمہ,2
1980,گدائے,2
1971,زیاد,2
3873,سناں,2
3872,ہندی,2
3170,سجدوں,2
1975,جاؤں,2
1976,فساد,2
1880,تمثالِ,2
3871,پارس,2
1979,ملتی,2
3931,قلندر,2
3935,را,2
3031,سجدے,2
3156,مِژہ,2
3155,دُکھ,2
1984,شادی,2
3154,شگفتنِ,2
3153,صبحِ,2
1986,شاد,2
3034,ضرورت,2
1992,کمالِ,2
3863,رستاخیز,2
1997,شوقِ,2
3613,رازداں,2
2813,بیباکی,2
3286,مند,2
2282,پردۂ,2
3659,پھرتے,2
3509,تھم,2
2321,دائم,2
3514,بدلنے,2
2554,خسرو,2
2550,شکوۂ,2
3657,رازدار,2
2548,حسنِ,2
3655,پاگل,2
2545,پڑھ,2
3653,دکھایا,2
2542,رشکِ,2
2329,اندازِ,2
2537,حیرتِ,2
3652,جلوں,2
3651,دکھاوے,2
2535,چلنے,2
3649,موجوں,2
3648,ناتواں,2
2531,بیٹھیے,2
2530,خموش,2
3647,مور,2
3646,قافلہ,2
2338,اسبابِ,2
3645,سفینۂ,2
2526,بنی,2
2524,اشارے,2
3643,خودکشی,2
2523,دلبری,2
2569,تلے,2
2572,گلزار,2
3660,نکلوں,2
3485,پیمان,2
3682,ميری,2
2292,جناب,2
3455,پیام,2
3463,خطر,2
2298,چنگ,2
2626,برہمن,2
3470,اچھے,2
3669,ليکن,2
3472,سارے,2
2607,آنسو,2
2307,شہود,2
3667,اسباب,2
1785,وحشتِ,2
2599,کشت,2
2573,صیاد,2
3664,مٹنا,2
3663,نمود,2
2596,جلے,2
3488,دوراں,2
3491,زیبائی,2
2588,ڈال,2
3661,درماندہ,2
2587,لاگ,2
2579,دہن,2
3502,سلیقہ,2
2576,اثبات,2
3503,رعنائی,2
2318,فارغ,2
2522,پرسش,2
2520,بوسہ,2
3538,روبرو,2
3624,صحرائیوں,2
3570,خوبصورت,2
3631,ہوشیار,2
2458,نیازِ,2
2365,کمر,2
3573,سمجھتی,2
2449,آسمان,2
3629,الٹ,2
3586,اماں,2
2435,پیالہ,2
3627,روما,2
3626,نکل,2
3625,باندھا,2
2430,پتھر,2
2426,جلدی,2
2463,سکتی,2
2423,اعمال,2
3622,برہنہ,2
3594,انتہا,2
3621,بسیں,2
2413,سامنا,2
2378,ظلم,2
2379,لطفِ,2
2380,دریغ,2
2397,پائیں,2
3619,پیتے,2
3610,الجھ,2
3618,چھپ,2
2388,حجت,2
3567,احمد,2
3632,خواروں,2
3641,تمہاری,2
3640,عیار,2
2503,چلتا,2
3546,نچوڑ,2
2499,کدھر,2
2498,پوچھتا,2
3547,فرشتے,2
2347,دوزخ,2
2492,شرمندہ,2
2489,رحم,2
3552,نواز,2
2349,تھوڑی,2
2486,آمد,2
2483,اڑا,2
3555,روس,2
3639,کھرا,2
3633,پھٹ,2
3638,دکاں,2
3637,بستی,2
3636,والو,2
2480,جلوت,2
2479,تلوار,2
2358,خوشا,2
3557,رسول,2
3559,توف,2
2472,گرفتار,2
2470,مان,2
2467,بالِ,2
3634,دیار,2
3566,ترجمہ,2
3450,خرابہ,2
2280,خزاں,2
3289,نوبہار,2
2652,مہرِ,2
2815,تقصیر,2
2149,گوشہ,2
2150,آبِ,2
2152,خرامِ,2
2153,خاکِ,2
3340,تلخیِ,2
3341,مئے,2
2807,گوارا,2
3346,پیہم,2
3350,جانے,2
2797,تدبیر,2
2796,آزمانے,2
2795,سرگرم,2
3356,مجاز,2
3758,چالاک,2
2779,غریبی,2
2778,ہجوم,2
3751,تیموری,2
2170,گلا,2
3371,صحن,2
3750,عثمانی,2
3749,ترکان,2
2173,ڈالا,2
2763,ناف,2
2180,عبرت,2
3743,مجبور,2
2186,فرصتِ,2
2187,عمرِ,2
2757,سوال,2
3330,دوستانہ,2
2144,کثرتِ,2
3329,شکوے,2
2107,ذرّہ,2
2087,سوزن,2
2088,مانعِ,2
3802,محیط,2
3293,آغاز,2
2096,شاہد,2
2865,رُک,2
2859,کھولتے,2
3302,اترے,2
3305,انقلاب,2
2848,دامِ,2
3312,بکھری,2
2106,افشاں,2
3313,خوشبوئے,2
2108,جانوں,2
2136,خسروِ,2
2112,دیے,2
3788,رازیؔ,2
2117,طوق,2
3324,چل,2
3785,طریق,2
2119,کشوں,2
2122,رازِ,2
3327,تکمیل,2
3781,پہنائے,2
2128,بخش,2
3775,اندیشۂ,2
3328,سکی,2
3772,مشعل,2
2752,گلہ,2
3739,سحرگاہی,2
2751,سناؤں,2
3697,نکتۂ,2
2235,پوچھیں,2
2714,فرشِ,2
2713,حضرتِ,2
3708,تقلید,2
2709,غمخواری,2
2243,ڈر,2
2706,دیوے,2
3400,صفا,2
3703,چاہیئے,2
2252,جرم,2
2702,باعث,2
2700,شباب,2
3699,آہنگ,2
2259,نکالا,2
2716,باندھے,2
3695,کرگس,2
2262,پھولوں,2
2264,سرشارِ,2
2689,تاکہ,2
3692,مجاہد,2
2676,تپشِ,2
2674,پندِ,2
2671,اعتمادِ,2
2669,دردِ,2
3688,الفاظ,2
2665,فقیروں,2
3431,مندی,2
2278,گلِ,2
2715,سمجھائیں,2
2233,چھوڑیں,2
3387,سہا,2
2211,نوردی,2
2194,کھینچ,2
3736,درویشی,2
3391,ڈالے,2
2197,کوہکن,2
3392,وسوسے,2
3393,دلوں,2
3729,یزداں,2
2205,پھرا,2
2206,دُور,2
3728,بیباک,2
3727,گستاخ,2
3395,گلو,2
2730,سایہ,2
2729,زیرِ,2
2718,لائیں,2
2727,کھائیں,2
3723,رہرو,2
2726,دلّی,2
2217,مرغِ,2
2725,قحطِ,2
2724,معمورے,2
2723,گھبرائیں,2
2722,گرفتارِ,2
2721,بھاگیں,2
2720,زادِ,2
2719,چھٹ,2
2228,سرمایہ,2
3715,فتراک,2
3482,مقتل,2
1563,حلقہٴ,2
1784,بیگانہ,2
1316,عجز,2
1415,مرحبا,2
4133,خویشتن,2
679,خمار,2
1420,پس,2
667,آفت,2
1426,فرسا,2
1428,رہنما,2
662,آئنۂ,2
651,مثل,2
636,ودیعت,2
628,امت,2
1434,اجتہاد,2
623,حوادث,2
1443,اعتقاد,2
1444,رکھے,2
617,نزول,2
615,اندھیری,2
4116,زیبا,2
1451,خونیں,2
1452,مدّت,2
1459,دعوتِ,2
1463,برسوں,2
1464,چاکِ,2
612,عرصے,2
1468,چلا,2
1414,نبی,2
1404,رہِ,2
705,طور,2
733,کردیا,2
1318,سیل,2
765,استقبال,2
761,سپند,2
754,بیتابی,2
748,ہدیہ,2
747,ارمغاں,2
746,الماس,2
745,تحفہ,2
4351,مقصود,2
1339,والوں,2
1344,ذلیل,2
4170,چمکا,2
711,تجلی,2
1355,سلطاں,2
4168,مہتاب,2
1361,کیسی,2
1368,فروغِ,2
4365,سجا,2
718,نور,2
4157,پنپ,2
1378,پڑتی,2
716,ماہ,2
1385,بخشی,2
1386,کُشتۂ,2
610,کیسا,2
603,اندر,2
602,گور,2
1572,بالش,2
4074,غلامی,2
532,حلقۂ,2
528,جیتا,2
1558,برقِ,2
1560,زہرہٴ,2
1562,جوّالہ,2
1566,عذرِ,2
1567,بارش,2
1569,گیرِ,2
507,شکن,2
1571,پنبہٴ,2
1575,موتی,2
1547,دفن,2
501,ہنگامہ,2
1576,پرونے,2
1581,آبجو,2
1586,پرشور,2
1587,بیخوابی,2
1590,بالشِ,2
1591,کمخواب,2
1594,بساطِ,2
1598,سوختن,2
1600,خوننابہ,2
1601,ٹپکانے,2
1548,انکار,2
1538,پوچھوں,2
599,پیکر,2
1508,رُخ,2
596,باتیں,2
591,آستیں,2
586,کدے,2
1482,طوافِ,2
581,انجم,2
1485,پندار,2
1489,خریدار,2
572,جلتی,2
570,علاج,2
561,بیش,2
1503,مانگے,2
558,تعلیم,2
1537,مقدور,2
556,شبنم,2
1515,پڑے,2
4087,کسریٰ,2
1519,بیٹهے,2
4086,قیصر,2
4084,بندے,2
1530,تکیہ,2
1534,سانپ,2
1536,من,2
546,فرقت,2
541,بیتاب,2
768,آئینہ,2
769,بدگمانی,2
1612,جواہرِ,2
4342,پابند,2
885,دماغی,2
881,رفتار,2
880,موجۂ,2
878,ماندگی,2
1028,لاکھوں,2
1031,مردہ,2
1035,یوسف,2
1037,بغل,2
4267,جمشید,2
3986,مجال,2
1039,سبب,2
1042,تبسم,2
877,خامہ,2
876,صحراۓ,2
875,خضر,2
1046,ہونا,2
1049,اجزائے,2
1056,سبزۂ,2
1057,کاکل,2
1061,حریف,2
872,راہی,2
1064,اندوہ,2
868,واماندگی,2
4258,پرندے,2
4256,وصی,2
888,خوابیدہ,2
889,آگاہی,2
1015,مضمر,2
912,نوید,2
942,اٹھ,2
943,پاسباں,2
928,دستی,2
4298,ستارا,2
919,رکھوں,2
972,سفینہ,2
918,تشنۂ,2
974,بیکراں,2
975,ادائے,2
4293,رھبر,2
915,طرز,2
986,رضواں,2
892,استاد,2
987,گلدستہ,2
989,طاق,2
905,کھاتا,2
990,نسیاں,2
994,تسبیح,2
4285,تمدن,2
900,صحرائے,2
897,محشر,2
893,سراغ,2
1010,نقشہ,2
4280,جنہیں,2
4255,سروری,2
4254,تمنائے,2
865,جہت,2
1278,مائل,2
1244,پند,2
4333,پیمانے,2
1253,بازی,2
1256,یاس,2
1257,خندہ,2
1261,کشتۂ,2
4336,حالات,2
1266,عضو,2
1269,بوریا,2
803,دکھ,2
785,وداع,2
1279,فریادی,2
1228,پروانہ,2
1280,شوخی,2
1281,تحریر,2
1282,کاغذی,2
1284,کاو,2
784,آغوش,2
4339,لؤ,2
1296,شنیدن,2
1298,بچھائے,2
4192,پاتی,2
1309,تسخیر,2
776,فضائے,2
1235,نارسا,2
4332,ممکن,2
864,شش,2
4228,ھوا,2
1083,گہ,2
1088,جاوے,2
1090,معاصی,2
862,سراسر,2
1100,نومیدی,2
1103,کشایش,2
860,گردش,2
857,سامان,2
4244,سکندری,2
4240,مرتبہ,2
1155,سینۂ,2
1180,شوخیٔ,2
1222,آتش,2
4224,نوجواں,2
1190,پیشوا,2
840,کامی,2
1192,محابا,2
1198,پرے,2
1200,آتشیں,2
1206,داغوں,2
1208,فرما,2
1210,تپاک,2
4222,جادو,2
4221,بتاؤں,2
1611,زخمِ,2
620,اختر,2
490,بیزار,2
361,گسل,2
1692,خاطرِ,2
355,تھمتا,2
346,دوستی,2
332,بودا,2
4027,سنی,2
1703,نسبت,2
1705,دعوت,2
1707,ریزِ,2
4026,منبر,2
329,بندھا,2
328,نازکی,2
1710,حوصلہ,2
1711,ربط,2
321,جیے,2
318,رہتے,2
4023,روح,2
308,پھرے,2
1714,فروش,2
4022,فقیہ,2
1691,غبارِ,2
362,بچیں,2
1653,یارانِ,2
368,مرنا,2
1662,بسا,2
1665,عصا,2
429,ڈرے,2
1667,کیجئے,2
423,خواہش,2
1669,شعلۂ,2
408,چیخوں,2
401,زہد,2
385,ولی,2
383,بیان,2
380,مسائل,2
379,دوئی,2
378,یکتا,2
377,یگانہ,2
375,مزار,2
4036,طائر,2
1686,حشر,2
372,جنازہ,2
371,غرق,2
1717,نگاہِ,2
1718,درِ,2
1720,لرزاں,2
303,کہیے,2
171,دشنۂ,2
164,نیمروز,2
162,دلفروز,2
161,جمال,2
144,روئیں,2
4452,چھا,2
1759,ورقِ,2
95,فریبی,2
1763,خواری,2
75,نفرت,2
3997,بنیاد,2
56,آرا,2
1769,ملاقات,2
46,پیچھے,2
3992,خانقاہ,2
3991,قلندری,2
1776,بازوئے,2
4467,رزق,2
14,سلیماں,2
174,ستاں,2
178,پناہ,2
205,آزمائے,2
1746,فروغ,2
298,سبو,2
4019,سکھا,2
4018,فغان,2
4434,پابندی,2
4015,سما,2
1731,خاطر,2
4437,بندی,2
1742,رفتارِ,2
263,حاجت,2
208,عز,2
257,بدن,2
1748,گرمیِ,2
245,بتاؤ,2
4007,گھات,2
4006,سازگار,2
233,روئیے,2
215,ملیں,2
1756,آگاہ,2
1659,پست,2
939,گدا,2
449,لکھوائے,2
1631,کاروبار,2
465,توقع,2
4420,کشادہ,2
446,درازی,2
1615,اوجِ,2
1637,طبعیت,2
1632,پھ,2
1622,اُسے,2
454,کان,2
1628,اتنی,2
1639,بڑی,2
4446,یوم,1
3434,سکھائیں,1
3435,ادائیاں,1
3433,رنجیدہ,1
3432,خدائیاں,1
4418,ایاغ,1
3245,بردنِ,1
4447,حوالے,1
3246,بیدلی,1
3208,Ghar,1
3247,نومیدیٴ,1
3430,ہنسائیاں,1
4448,انتہائی,1
4324,نفع,1
4445,لالے,1
3429,جگ,1
4325,پسر,1
3428,ہوئیں,1
4326,منگول,1
3227,سوچتا,1
3427,ٹھہرے,1
3426,معتبر,1
3436,دوانے,1
4323,سےعلم,1
3437,لبادہ,1
3444,شہرہ,1
3451,ویرانئ,1
3243,سُبحہ,1
3231,وجد,1
3449,نگاراں,1
4451,شھرت,1
3448,چلو,1
3447,سامانی,1
3446,پریشانئ,1
3445,نادانئ,1
3230,کھٹکے,1
3443,رند,1
3438,پہچانے,1
3229,ہلا,1
3244,مرغوبِ,1
4450,ارضپاک,1
3228,شکائتیں,1
3441,ارادہ,1
4449,نومبر,1
3440,اٹھیں,1
3425,پہنچ,1
4409,سالار,1
3439,پل,1
4327,خزینگراں,1
4408,قافلہِ,1
4328,مٹانے,1
3404,مضطرب,1
3411,سمیٹ,1
3410,بچے,1
3161,کیف,1
3409,گنوا,1
3162,برسات,1
3407,گنواؤ,1
3406,سکوں,1
3225,آسکا,1
3405,راستے,1
3249,آيئنہٴ,1
4433,خداوندی,1
3250,مہریٴ,1
3424,جدائیاں,1
4419,طریقوں,1
3403,رکھو,1
4334,پروانے,1
3164,قبر,1
3165,روایات,1
4335,رحمیِ,1
3401,بادبان,1
3166,جایا,1
3167,بدلہ,1
3223,اُسکا,1
3251,غلتیدنِ,1
3412,لٹا,1
3413,دشمناں,1
3160,بہلانے,1
3248,عقدہٴ,1
3423,قربتیں,1
3242,شمارِ,1
4329,نمو,1
3421,آشنائیاں,1
3420,یادگار,1
3419,رکے,1
3418,گفتنی,1
3417,کشتنی,1
4330,دھمکانے,1
4444,مشاطگی,1
3416,بانکپن,1
4443,فرزندی,1
3415,قاتلوں,1
4331,تشنگی,1
4442,آداب,1
4441,اسماعیل,1
4407,خوابوں,1
4440,سکھائے,1
4439,کرامت,1
4438,فیضان,1
3226,سکون,1
4436,ذلت,1
4435,اوقات,1
3232,گرتا,1
3453,سونپا,1
3452,فگن,1
3252,بِسمل,1
3237,حبابِ,1
4313,بےمثال,1
4465,دوسروں,1
3501,قداں,1
4314,دیوانے,1
4315,محوِِِ,1
3500,شمشاد,1
3499,شہ,1
3498,چھیڑے,1
3135,تھما,1
4412,عِلم,1
4316,رائیگاں,1
3136,رہزنی,1
3496,بدناں,1
3495,گرمئی,1
4317,نذرانےنہ,1
3137,دلستانی,1
4464,مجھکو,1
3494,شناسائی,1
3493,ارزاں,1
3492,دہناں,1
3139,گالیاں,1
4318,کتب,1
3490,جانب,1
3489,گردشوں,1
4312,میخانے,1
4466,لاہوتی,1
3236,گوشہٴ,1
4308,بھیجتا,1
3517,امڈے,1
4305,سہارے,1
4306,گناھ,1
4470,حالت,1
3129,دوستدارِ,1
3516,چھلکا,1
3515,کھلتا,1
4469,کوتاہی,1
3513,رت,1
4307,لعنت,1
3512,ترسنے,1
3510,غمزدوں,1
4468,اچھی,1
4309,شیطان,1
4310,پیاسے,1
3130,کِھلنے,1
3508,پہنچا,1
3507,سنبھالو,1
3506,مسیحائی,1
4311,سکونِ,1
3505,زدگاں,1
3504,مسیحائے,1
4413,حِکمت,1
3131,مِنّت,1
4319,کرنیں,1
4463,کرونگا,1
3238,موجہٴ,1
3240,ناگزیرِ,1
3467,حضوری,1
3466,پہنچی,1
3465,طناز,1
4411,انوکھا,1
3239,بےدماغی,1
4456,پہنچوں,1
4455,گزارا,1
4454,چگنے,1
3464,سرمۂ,1
4453,ٹہنی,1
3233,پلکوں,1
3462,حرص,1
3468,دریچے,1
3461,ترازو,1
3460,چھیڑی,1
4410,کتابِ,1
3459,پیوست,1
3458,غماز,1
4416,بناتا,1
3457,حیرانئ,1
3456,زندانئ,1
4322,کدوں,1
4417,ہےعلم,1
3454,نگہبانئ,1
4457,اندھیرا,1
4458,سنکر,1
3487,نبض,1
4415,شاہکار,1
4320,گرمانے,1
4462,کیڑا,1
3142,رک,1
3484,تعزیریں,1
3143,روا,1
3144,دلستاں,1
3483,تدبیریں,1
3235,طوفان,1
3481,حسرتیں,1
3480,گنو,1
3479,دکھلائیں,1
4321,حکمت,1
3469,نظارا,1
3478,سکھلائے,1
3234,چنتا,1
4461,مدد,1
3146,پڑھیئے,1
3476,سجھائی,1
3475,بہتات,1
4460,بولا,1
3474,دوبارا,1
3473,پھیرے,1
3471,ٹھہری,1
4459,زاری,1
4337,سےکچھ,1
3253,مُحابا,1
3399,صدق,1
4387,رفعت,1
4384,اونچی,1
3210,Badalty,1
4385,اڑاں,1
4426,شرمائں,1
3274,شوخیٴ,1
4386,مرحلہ,1
3185,میدان,1
3322,باری,1
3321,مستیٔ,1
3320,جانانہ,1
3319,لمس,1
3317,ماند,1
3191,کافی,1
3186,بڑھتے,1
3518,عشاق,1
3275,پیکرِ,1
3315,پھوٹی,1
3187,بھرپور,1
4388,ناموری,1
3188,روپ,1
3189,سانپوں,1
3311,کامیاب,1
3310,بسر,1
3190,سپیروں,1
4383,پہرہ,1
3273,قیود,1
4401,ٹمٹمائے,1
3331,قاعدے,1
4378,لکھی,1
3344,فسون,1
3343,مرہون,1
4429,مرزابھی,1
4379,نؤ,1
4421,کبریت,1
3342,ایّام,1
4380,ھماری,1
3211,محورے,1
3339,لادوا,1
3338,گریز,1
4381,بسائیں,1
3271,تیشے,1
4382,اڑان,1
3272,سرگشہٴ,1
3337,خوبیِ,1
3336,خطاوار,1
3335,دادِ,1
3334,بُھولے,1
4428,سید,1
3333,اُصولِ,1
4427,یہود,1
3332,کاربندِ,1
4425,ہنود,1
3309,سمت,1
4377,مالی,1
3283,زیرپا,1
3200,Chalna,1
4395,فقیری,1
3201,Tha,1
3288,بھرے,1
3287,گلوں,1
3202,Chaltay,1
4396,سرفرازی,1
4397,نازاں,1
3285,جانِ,1
3203,Muhabbat,1
3284,غمخوارِ,1
3282,عالَمِ,1
3308,گونجی,1
3281,اختیارِ,1
4398,قانون,1
4422,گزرپارس,1
3280,جذبہٴ,1
3279,جوئےشِیر,1
3204,Adawat,1
4399,لامکاں,1
3205,Wafa,1
3206,Berukhi,1
3278,جانیہائے,1
3207,Kiray,1
4394,شغف,1
3292,کنج,1
3199,Main,1
4393,جنہں,1
3307,خانماں,1
4389,نسیم,1
3276,کاؤ,1
3209,Thay,1
4390,دیتی,1
3192,ڈسنے,1
4391,فجر,1
3193,Musafir,1
3304,سرداری,1
4424,نصاری,1
3195,Rastay,1
3301,ماہتاب,1
3300,عذاب,1
3299,جچا,1
3277,کاوِ,1
3196,Badaltay,1
4392,قائد,1
3297,سنوار,1
3296,عاقبت,1
3295,تمہارے,1
3294,مشکبار,1
4423,دلکشا,1
3198,Muqaddar,1
3345,لرزش,1
3347,وقف,1
4338,لرزیدہ,1
3388,راندۂ,1
3263,مکتبِ,1
3398,آبروئے,1
3397,مزاج,1
3396,وقار,1
3219,دوریا,1
3175,نمازوں,1
3394,قیامتیں,1
4350,شاھین,1
4352,لبیک,1
3390,جفاخو,1
3389,حیلہ,1
4353,سمجھو,1
3381,رہو,1
4354,ولایت,1
4414,فلسفہ,1
3176,اجڑے,1
4355,بڑھا,1
3385,عاشقانہ,1
4404,عوض,1
4356,حیث,1
3384,سلوک,1
3383,غائبانہ,1
4357,شعیہ,1
4358,واسطہ,1
3262,سود,1
4349,دیپ,1
4405,لوث,1
4348,مخمور,1
4406,مزدور,1
4400,ادناہ,1
4432,سوزودرد,1
4431,متاع,1
3254,کارفرما,1
3169,چاہیں,1
3255,تپاکِ,1
4340,مدھم,1
4341,بےنور,1
4430,ہوافغان,1
3220,فاصلے,1
3171,خلوص,1
4343,افق,1
3256,جزقیس,1
3172,نیت,1
3257,روے,1
3258,حسود,1
4344,رونقِ,1
4345,محصور,1
3259,آشفتگی,1
3260,درست,1
4346,جوڑ,1
4347,وجدان,1
3265,رفت,1
3380,سنبھالے,1
3348,سوزش,1
3269,برہنگی,1
4367,دشمنوں,1
4368,ھم,1
3182,چڑھتے,1
3363,گاتی,1
3268,عیوبِ,1
3362,بدلتی,1
3361,خوشبو,1
3360,جھلملاتی,1
3359,بجھتی,1
3358,دکھاتی,1
3357,چاندنی,1
3355,ناکامئ,1
3177,دیمک,1
4369,مسلک,1
3354,فرض,1
4370,جناح,1
3352,شدہ,1
3351,خاموشیوں,1
4371,کرینگے,1
4372,اجڑ,1
4373,ایمان,1
4402,وبال,1
4374,اتحاد,1
4375,تنظیم,1
3181,ثنا,1
3365,سناتی,1
3366,بلاتی,1
3367,بہلتا,1
4359,مباحثے,1
3217,اُسکو,1
4360,زیتون,1
3178,دستک,1
3378,دوستاں,1
3377,ارغواں,1
3376,کاسۂ,1
3375,کماں,1
4361,تیل,1
3216,جوچلا,1
4362,سرسوں,1
3374,کھنچ,1
4363,نعرہحق,1
4364,رکھنا,1
3372,مشتاقاں,1
3215,آپکو,1
4366,میدانکربلا,1
3370,شورش,1
4403,علامہ,1
3369,بیک,1
3214,لینا,1
3368,ستاتی,1
3267,ڈھانپا,1
3386,قہر,1
3571,بولنا,1
3519,سلگنے,1
3837,جرعہ,1
3829,فقیہان,1
3830,خلاف,1
3831,فلاطوں,1
3832,میان,1
3834,اعراف,1
3836,کشافؔ,1
3838,ناصاف,1
3827,اتفاق,1
3840,طریقت,1
3841,شریعت,1
3843,سرمست,1
3844,بیدار,1
3846,نئی,1
3847,گلگونہ,1
3828,مومنوں,1
3826,غلاف,1
3850,سروش,1
3815,بکف,1
4078,عرشیوں,1
4077,استغنا,1
4076,محفوظ,1
3812,حکیم,1
4075,زرہ,1
3813,سربجیب,1
4073,حکومت,1
3825,سلامت,1
3816,معرکہ,1
3817,درخت,1
3819,لاتخف,1
3820,خیرہ,1
3822,مدینہ,1
3127,لڑکپن,1
3848,لازم,1
3851,خواں,1
4079,اولیٰ,1
4060,مصرع,1
3866,ملوکیت,1
4062,قیام,1
4061,لکھ,1
3867,آثار,1
3868,تیمور,1
3869,چنگیز,1
4059,جنگاہ,1
3864,شعلے,1
3870,عراق,1
4058,گہرائیوں,1
4057,پادشاہوں,1
4056,سیکھی,1
4055,خاراشگافوں,1
4054,حجازی,1
3865,سرعت,1
4063,مسلمانوں,1
4071,سولی,1
3857,ناپختہ,1
4070,حلاج,1
3853,دانا,1
4069,عرفاں,1
4068,رقابت,1
4067,عین,1
3856,ملوکانہ,1
3858,پرویزی,1
4064,آسانوں,1
4066,توحید,1
3859,حجرۂ,1
4065,اندازۂ,1
3860,شیراں,1
3861,دستاویز,1
3862,درویشاں,1
3810,روم,1
4080,دیکھے,1
3874,ریز,1
3774,لولاک,1
4105,لبالب,1
4104,بطحا,1
4103,خفتہ,1
4102,مکی,1
3773,میراث,1
4101,احرام,1
4100,چینیاں,1
3769,تیرہ,1
4099,گرفتہ,1
3777,صیقل,1
4098,آشوب,1
3779,پروائے,1
3780,چنتی,1
4097,ندا,1
3770,بصر,1
3768,کائنات,1
3783,رفیق,1
4112,اٹھتی,1
3756,کافوری,1
3757,مغربیوں,1
4115,محرومی,1
3761,عروج,1
4114,بالا,1
4113,نہنگوں,1
4111,واویلا,1
4106,الا,1
4110,سروں,1
3764,نیلگوں,1
4109,نیچے,1
4108,ور,1
4107,زخمہ,1
3766,زمانۂ,1
3782,چمک,1
3784,قلندروں,1
4081,مشرق,1
4083,توراں,1
4089,گلیم,1
3799,ناسزا,1
3800,لشکریاں,1
3801,ہدف,1
4088,چرا,1
4085,ہلاک,1
3803,ڈھونڈ,1
3797,زندیق,1
3804,بتاں,1
4082,ایراں,1
3806,تلف,1
3807,کھول,1
3808,باشرف,1
3809,شرف,1
3798,سپاہ,1
3796,تصدیق,1
4096,برپا,1
3790,دقیق,1
4095,اسرافیل,1
3786,مغاں,1
3787,خلیق,1
4094,زہرا,1
3789,ہاے,1
4093,چادر,1
3791,مرید,1
3795,بااللساں,1
3792,تائب,1
4092,اویس,1
4091,دلق,1
3793,بتان,1
3794,عتیق,1
4090,ذر,1
4053,لغت,1
3875,مۂ,1
3754,کیونکر,1
3954,شرقی,1
3951,ملکوتی,1
4005,الدیار,1
3952,پیوند,1
4004,قصوروار,1
3953,مست,1
4003,مراد,1
3955,غربی,1
4008,حوصلے,1
4002,خیمۂ,1
3956,صفاہاں,1
3957,سمرقند,1
3958,ابلۂ,1
3959,فرزند,1
3960,بیگانے,1
3950,غاروں,1
4009,حوریان,1
3962,زہر,1
3942,موعظہ,1
3938,خرے,1
3939,کباب,1
3940,گلگوں,1
3941,بجز,1
4014,صوت,1
4012,سنبھال,1
4011,برکاب,1
3949,قریہ,1
3943,احکام,1
3944,مفسر,1
3945,تاویل,1
4010,مغربیاں,1
3947,پازند,1
3948,افرنگ,1
3961,ناخوش,1
3963,ہلاہل,1
4016,لطیفۂ,1
3982,جواں,1
3976,چھینے,1
3977,شکرخند,1
3978,حضرت,1
3979,بستیاں,1
3980,کوفہ,1
3981,بغداد,1
3983,فلسفی,1
3975,خرم,1
3984,فقیہہ,1
3990,رموز,1
3989,سرمایۂ,1
3985,تحقیر,1
3988,عشرت,1
3987,خرید,1
3993,رشی,1
3974,خورسند,1
4001,ٹھہر,1
3969,شعلوں,1
3964,قند,1
4000,صرصر,1
3999,مشت,1
3966,بین,1
3967,تودے,1
3968,دماوند,1
3970,دانۂ,1
3994,فاقوں,1
3998,طالب,1
3971,اسپند,1
3996,کلیمیؑ,1
3972,نکوبین,1
3973,کیسہ,1
3995,ٹوٹا,1
3937,بخشد,1
4017,ازلی,1
3876,اشارہ,1
3895,ستیز,1
3889,موافق,1
3890,صدائے,1
3891,خبراں,1
4046,بچوں,1
3893,بساز,1
3894,سازد,1
4045,خداوندان,1
4047,نخچیروں,1
3896,گیسوئے,1
4044,غازی,1
4043,گیر,1
4042,مروت,1
3898,ہمکنار,1
3899,کنار,1
3888,غمیں,1
3887,التفات,1
3900,خزف,1
3882,فرسودہ,1
3877,پاتے,1
3878,پرہیز,1
4052,قاروں,1
3879,بچھائی,1
3880,وارث,1
3881,پرانے,1
3883,نوخیز,1
4048,بدلا,1
3884,نشور,1
4051,الٰہ,1
4050,شاہبازی,1
3885,چھین,1
3886,سحرگہی,1
4049,طریقہ,1
4041,نوازی,1
4040,قریب,1
3934,مہاجن,1
3926,نادر,1
3920,بتاتا,1
3921,امم,1
3923,نرالے,1
3924,لاتے,1
3925,دبدبۂ,1
4024,کانپ,1
3927,شوکت,1
3918,خطاب,1
3928,چھٹنے,1
4021,خانقہی,1
3930,معانی,1
4020,شیوہ,1
3932,اسرار,1
3933,گزراں,1
4025,ترستے,1
4028,فلسطیں,1
3901,شاہوار,1
4034,نظری,1
4039,جوار,1
3903,پیش,1
4038,ترک,1
4037,رس,1
3905,کھوئی,1
4035,خطیب,1
3907,تاروں,1
4029,پہاڑوں,1
3908,بیکرانہ,1
3909,قیدمقام,1
4033,جماعت,1
4032,قرطبہ,1
4031,سیماب,1
4030,رعشۂ,1
3755,شاہین,1
4117,بھروسا,1
3520,جلنے,1
3596,زاہدوں,1
3591,غزنوی,1
3592,ایاز,1
4260,اپناہی,1
4259,زراپرنکل,1
4257,اُمید,1
3593,آشنا,1
3597,لن,1
3589,گرمیاں,1
3598,ترانی,1
3599,بجھا,1
3600,بھری,1
4253,مآل,1
